time,status,gaze_x,gaze_y
11.306,INSIDE,0.029451635,0.07821919
11.336,INSIDE,0.049107358,0.087565936
11.372,INSIDE,0.019543607,0.10033424
11.399,INSIDE,0.04261119,0.099805504
11.442,INSIDE,0.05145259,0.10655819
11.471,INSIDE,0.06373898,0.11185269
11.493,INSIDE,0.105811134,0.09487709
11.528,INSIDE,0.14800578,0.08611611
11.560,OUTSIDE,0.19002983,0.06889639
11.601,OUTSIDE,0.23504725,0.050978635
11.628,OUTSIDE,0.27476257,0.053162463
11.676,OUTSIDE,0.2931883,0.050882548
11.707,OUTSIDE,0.31956288,0.05267406
11.737,OUTSIDE,0.33326432,0.034262586
11.773,OUTSIDE,0.32740125,0.023695419
11.803,OUTSIDE,0.3384582,0.0050786147
11.837,OUTSIDE,0.34780943,0.0036992258
11.862,OUTSIDE,0.3504002,0.008380169
11.899,OUTSIDE,0.3687665,0.010327025
11.934,OUTSIDE,0.37642267,0.002532262
11.962,OUTSIDE,0.38654274,0.008355225
11.996,OUTSIDE,0.39047736,0.0023238773
12.027,OUTSIDE,0.39396402,0.00042737322
12.071,OUTSIDE,0.3925961,0.0049866615
12.114,OUTSIDE,0.4012333,0.009212709
12.137,OUTSIDE,0.40391016,0.025235519
12.171,OUTSIDE,0.40761504,0.028852608
12.204,OUTSIDE,0.39490086,0.026111132
12.234,OUTSIDE,0.39435053,0.025464682
12.274,OUTSIDE,0.39645553,0.035009727
12.299,OUTSIDE,0.39507258,0.034064915
12.327,OUTSIDE,0.35858205,0.03620506
12.363,OUTSIDE,0.26785314,0.048451453
12.396,INSIDE,0.19190547,0.051814575
12.435,INSIDE,0.14590609,0.055166684
12.471,INSIDE,0.12549852,0.053548932
12.507,INSIDE,0.09277908,0.05463208
12.539,INSIDE,0.07536405,0.061643336
12.572,INSIDE,0.08569551,0.06154328
12.611,INSIDE,0.114295945,0.057783663
12.633,INSIDE,0.09174422,0.05853023
12.667,INSIDE,0.09042335,0.0696821
12.699,INSIDE,0.08255904,0.0698346
12.728,INSIDE,0.09587727,0.08155023
12.771,INSIDE,0.12915021,0.08026632
12.794,INSIDE,0.15170886,0.08182119
12.827,INSIDE,0.18079337,0.07102605
12.875,OUTSIDE,0.18969011,0.08027854
12.906,OUTSIDE,0.19123034,0.081848055
12.946,INSIDE,0.15956925,0.076043636
12.976,INSIDE,0.16553149,0.06753108
13.008,INSIDE,0.14641404,0.06064761
13.038,INSIDE,0.12598225,0.05801729
13.069,INSIDE,0.10245149,0.05864799
13.106,INSIDE,0.116759986,0.059007086
13.131,INSIDE,0.1282774,0.066811554
13.164,INSIDE,0.1278435,0.065957546
13.196,INSIDE,0.15321115,0.057577755
13.225,INSIDE,0.18422535,0.05802904
13.281,OUTSIDE,0.19736595,0.041345883
13.307,OUTSIDE,0.21542667,0.035497293
13.340,OUTSIDE,0.23700473,0.04964059
13.372,OUTSIDE,0.24793455,0.053077273
13.399,OUTSIDE,0.25192332,0.059840858
13.443,OUTSIDE,0.25610706,0.05032976
13.471,OUTSIDE,0.24757329,0.037508205
13.502,OUTSIDE,0.24888724,0.03942103
13.531,OUTSIDE,0.24808583,0.049512446
13.563,OUTSIDE,0.23752725,0.04789724
13.600,OUTSIDE,0.24595658,0.046931386
13.622,OUTSIDE,0.23358318,0.059036054
13.676,OUTSIDE,0.24414787,0.05315385
13.705,OUTSIDE,0.28215837,0.042490285
13.733,OUTSIDE,0.27232775,0.050580602
13.778,OUTSIDE,0.28708938,0.04503777
13.802,OUTSIDE,0.31756413,0.051741283
13.834,OUTSIDE,0.3289355,0.04922854
13.867,OUTSIDE,0.33162203,0.048083026
13.897,OUTSIDE,0.33196452,0.05133695
13.936,OUTSIDE,0.33982146,0.044386182
13.967,OUTSIDE,0.33433497,0.034801103
13.997,OUTSIDE,0.34279913,0.027688714
14.028,OUTSIDE,0.35172698,0.016910175
14.076,OUTSIDE,0.35204384,0.023299525
14.113,OUTSIDE,0.36039552,0.014840246
14.135,OUTSIDE,0.36060208,0.0010223268
14.171,OUTSIDE,0.36074662,-0.006169137
14.204,OUTSIDE,0.35257146,-0.011551063
14.234,OUTSIDE,0.3490461,-0.010887258
14.273,OUTSIDE,0.34079224,0.004802626
14.298,OUTSIDE,0.33267078,0.015886253
14.332,OUTSIDE,0.3209799,0.029165423
14.364,OUTSIDE,0.31711757,0.036593165
14.394,OUTSIDE,0.30686998,0.045738507
14.433,OUTSIDE,0.32218203,0.027036486
14.474,OUTSIDE,0.33656257,0.015327518
14.507,OUTSIDE,0.33564264,0.0062019797
14.538,OUTSIDE,0.3306774,-0.0009824061
14.570,OUTSIDE,0.3193648,0.0018139945
14.610,OUTSIDE,0.3066852,0.013501242
14.641,OUTSIDE,0.29048532,0.036056094
14.674,OUTSIDE,0.28515124,0.05259522
14.704,OUTSIDE,0.27489883,0.06281763
14.733,OUTSIDE,0.2605078,0.062173028
14.770,OUTSIDE,0.25867382,0.066812135
14.793,OUTSIDE,0.2531786,0.07216522
14.822,OUTSIDE,0.26665372,0.059661776
14.871,OUTSIDE,0.2802611,0.05081323
14.902,OUTSIDE,0.27499136,0.042870592
14.942,OUTSIDE,0.2618177,0.03800197
14.970,OUTSIDE,0.2552328,0.032653015
15.003,OUTSIDE,0.24648523,0.022342127
15.034,OUTSIDE,0.24479309,0.017047111
15.068,OUTSIDE,0.262029,0.015819391
15.100,OUTSIDE,0.2912328,0.018127711
15.127,OUTSIDE,0.3126276,0.019693183
15.164,OUTSIDE,0.32533348,0.020477733
15.194,OUTSIDE,0.33159086,0.022885438
15.226,OUTSIDE,0.3508392,0.011194977
15.282,OUTSIDE,0.36365384,0.008198117
15.306,OUTSIDE,0.37211138,0.003111118
15.339,OUTSIDE,0.38022894,-0.004899244
15.372,OUTSIDE,0.38071102,-0.0055351835
15.399,OUTSIDE,0.38551626,0.0013988093
15.443,OUTSIDE,0.38250786,0.0037394816
15.465,OUTSIDE,0.38428384,-0.0024635396
15.497,OUTSIDE,0.39087367,-0.0058168853
15.531,OUTSIDE,0.39614576,-0.008329022
15.559,OUTSIDE,0.4051829,-0.0075103077
15.602,OUTSIDE,0.4165626,-0.014870252
15.640,OUTSIDE,0.42504108,-0.022768795
15.674,OUTSIDE,0.436103,-0.028691454
15.705,OUTSIDE,0.44531113,-0.03423807
15.733,OUTSIDE,0.43981838,-0.04068418
15.771,OUTSIDE,0.44234553,-0.055120774
15.802,OUTSIDE,0.44726396,-0.061491035
15.835,OUTSIDE,0.4480701,-0.055558983
15.868,OUTSIDE,0.45676428,-0.06062591
15.899,OUTSIDE,0.45003283,-0.059851468
15.934,OUTSIDE,0.4591636,-0.044578522
15.966,OUTSIDE,0.45691258,-0.04088209
16.002,OUTSIDE,0.45702142,-0.04181021
16.070,OUTSIDE,0.45226365,-0.049958065
16.100,OUTSIDE,0.41531503,-0.08733881
16.138,OUTSIDE,0.34177032,-0.1203901
16.163,OUTSIDE,0.2977231,-0.1496051
16.194,OUTSIDE,0.27912152,-0.1494013
16.226,OUTSIDE,0.28679132,-0.16244225
16.255,OUTSIDE,0.31105667,-0.12570299
16.277,OUTSIDE,0.34151897,-0.10026932
16.302,OUTSIDE,0.35046464,-0.08252068
16.332,OUTSIDE,0.3591436,-0.05790867
16.362,OUTSIDE,0.36119056,-0.05668597
16.391,OUTSIDE,0.3545668,-0.041199956
16.450,OUTSIDE,0.35747412,-0.021726321
16.469,OUTSIDE,0.35811764,-0.00400237
16.507,OUTSIDE,0.3396716,0.0046415785
16.534,OUTSIDE,0.3571549,0.018053181
16.566,OUTSIDE,0.3530602,0.028402608
16.610,OUTSIDE,0.35048684,0.04313622
16.642,OUTSIDE,0.3555703,0.056965373
16.674,OUTSIDE,0.3544412,0.05891873
16.707,OUTSIDE,0.3614145,0.0495149
16.736,OUTSIDE,0.36431825,0.04627847
16.770,OUTSIDE,0.3278621,0.03413443
16.801,OUTSIDE,0.3107291,0.042076476
16.844,OUTSIDE,0.29961485,0.049412027
16.874,OUTSIDE,0.2972548,0.036691844
16.905,OUTSIDE,0.30549046,0.03255075
16.943,OUTSIDE,0.3110357,0.036298707
16.970,OUTSIDE,0.27511024,0.040075842
17.002,OUTSIDE,0.25523585,0.034644887
17.035,OUTSIDE,0.26033014,0.044576127
17.067,OUTSIDE,0.260527,0.038408488
17.106,OUTSIDE,0.25506178,0.03876033
17.130,OUTSIDE,0.25412917,0.024252899
17.164,OUTSIDE,0.25933573,0.011520486
17.194,OUTSIDE,0.25642514,0.014207529
17.243,OUTSIDE,0.2661431,0.023357745
17.282,OUTSIDE,0.28122205,0.0032766908
17.305,OUTSIDE,0.31067377,0.00033903262
17.335,OUTSIDE,0.33055758,0.005112506
17.373,OUTSIDE,0.3421325,-0.0099710515
17.404,OUTSIDE,0.34671932,-0.016913207
17.440,OUTSIDE,0.35813323,-0.009381054
17.468,OUTSIDE,0.36941886,0.003357579
17.499,OUTSIDE,0.37175238,0.01220138
17.525,OUTSIDE,0.38312706,0.014395763
17.564,OUTSIDE,0.3774663,0.007216011
17.597,OUTSIDE,0.380535,0.0034993887
17.643,OUTSIDE,0.36730224,0.017390978
17.671,OUTSIDE,0.3691721,0.0057649924
17.707,OUTSIDE,0.36806402,0.005850528
17.734,OUTSIDE,0.37702957,-0.00132913
17.771,OUTSIDE,0.37063456,-0.023946749
17.797,OUTSIDE,0.35085043,-0.06312503
17.836,OUTSIDE,0.36109823,-0.06733205
17.865,OUTSIDE,0.38174826,-0.0352672
17.899,OUTSIDE,0.3806759,-0.018964995
17.937,OUTSIDE,0.37150246,-0.0020236643
17.966,OUTSIDE,0.36112595,-0.0046483767
17.995,OUTSIDE,0.34807625,-0.0048606144
18.044,OUTSIDE,0.34443462,-0.0011765542
18.076,OUTSIDE,0.3432771,0.008235555
18.114,OUTSIDE,0.32964945,0.011093258
18.140,OUTSIDE,0.33512473,0.013899314
18.171,OUTSIDE,0.34701407,0.013975278
18.204,OUTSIDE,0.35160124,0.01168928
18.230,OUTSIDE,0.35598415,0.020816773
18.274,OUTSIDE,0.3681342,0.015436915
18.297,OUTSIDE,0.38777208,0.0062694023
18.331,OUTSIDE,0.41770512,-0.020220794
18.364,OUTSIDE,0.42379004,-0.021185806
18.392,OUTSIDE,0.42197043,-0.020364426
18.446,OUTSIDE,0.44105798,-0.0069125686
18.470,OUTSIDE,0.45222205,-0.036882255
18.505,OUTSIDE,0.45183378,-0.04086885
18.537,OUTSIDE,0.44438422,-0.03603312
18.571,OUTSIDE,0.44715294,-0.031357218
18.605,OUTSIDE,0.44777268,-0.052894875
18.634,OUTSIDE,0.45926607,-0.048470505
18.662,OUTSIDE,0.44753605,-0.040429596
18.699,OUTSIDE,0.44650275,-0.039799742
18.730,OUTSIDE,0.43845522,-0.03673128
18.770,OUTSIDE,0.4109958,-0.0314019
